width	macs	platform	config	clock_mhz	cycles	us	cyc_per_mac	memory
64	7008	STM32N6_M55	CPU_Helium	800	11122	13.9	1.59	SRAM
128	26304	STM32N6_M55	CPU_Helium	800	40554	50.7	1.54	SRAM
256	101760	STM32N6_M55	CPU_Helium	800	251750	314.7	2.47	SRAM
64	7008	STM32N6_NeuralART	NPU_EC	800/1000	24160	30.2	3.45	xSPI+npucache
128	26304	STM32N6_NeuralART	NPU_EC	800/1000	64864	81.1	2.47	xSPI+npucache
256	101760	STM32N6_NeuralART	NPU_EC	800/1000	220240	275.3	2.16	xSPI+npucache
64	7008	ESP32S3_LX7	ESPNN_SIMD	240	27363	114.0	3.90	SRAM
128	26304	ESP32S3_LX7	ESPNN_SIMD	240	69489	289.5	2.64	SRAM
256	101760	ESP32S3_LX7	ESPNN_SIMD	240	199806	832.5	1.96	SRAM
64	7008	RA4E1_M33	CMSISNN_DSP	100	26456	264.6	3.78	SRAM
128	26304	RA4E1_M33	CMSISNN_DSP	100	78282	782.8	2.98	SRAM
256	101760	RA4E1_M33	CMSISNN_DSP	100	262750	2627.5	2.58	SRAM
